run_id,run_label,route_id,route_index,repetition_index,town,frame,timestamp,controller,controller_mode,controller_compute_time_ms,controller_status,controller_fallback,longitudinal_controller_compute_time_ms,longitudinal_controller_status,longitudinal_controller_fallback,longitudinal_accel_cmd_mps2,maneuver_state,waiting_left_reason,speed_mps,speed_kph,target_speed_mps,target_speed_kph,speed_error_mps,steer,throttle,brake,x,y,z,yaw_deg,pitch_deg,roll_deg,velocity_x,velocity_y,velocity_z,accel_x,accel_y,accel_z,longitudinal_accel_mps2,lateral_accel_mps2,yaw_rate_dps,road_id,lane_id,target_lane_id,target_lane_lateral_error_m,target_lane_heading_error_deg,target_lane_progress,overtake_origin_lane_id,is_junction,front_distance_m,front_distance_margin_m,front_dynamic_stop_distance_m,front_dynamic_emergency_distance_m,front_dynamic_margin_m,front_ttc_s,front_closing_speed_mps,front_radar_point_count,front_radar_mean_abs_azimuth_rad,front_radar_anchor_azimuth_rad,front_relative_longitudinal_m,front_relative_lateral_m,front_relative_lateral_abs_m,front_blocked,rear_distance_m,rear_approach_distance_m,rear_approach_speed_mps,rear_closing_speed_mps,rear_approach_ttc_s,rear_approach_mode,rear_lane_releasing,left_oncoming_detected,left_oncoming_confidence,left_oncoming_label,lateral_error_m,heading_error_deg,blocked_vehicle,rejoin_lane_clear,safety_override,safety_override_reason,requested_brake,emergency_brake,steer_saturated,front_collision_risk
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487437,0.05000000074505806,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,0.0002403607687238863,0.0008652987674059907,5.555555555555555,20.0,5.555315194786831,2.3945547582115978e-05,0.75,0.0,1199.9569091796875,-82.53407287597656,342.9453125,-0.0316467247903347,0.6043487787246704,-0.01141357421875,-0.0012569221435114741,0.0003848605847451836,0.1419672667980194,0.006495767738670111,-0.001741292653605342,-0.6099972128868103,6.231119299404321e-05,-0.0018592255204329415,-0.00019101999350823462,94,1,1,,,,,0,18.909374237060547,13.909374237060547,2.3,2.3,16.609374237060546,,0.005214397795498371,1,0.0523509681224823,-0.0523509681224823,18.883468627929688,-0.989471971988678,0.989471971988678,0,16.217891693115234,,,,,none,0,0,,,-4.5776359002047684e-05,-3.0513852834701538e-05,0,0,0,,0.0,0,0,0
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487438,0.10000000149011612,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,0.00020060695886280582,0.0007221850519061009,5.555555555555555,20.0,5.555354948596692,4.3555810407269746e-05,0.75,0.0,1199.9569091796875,-82.53408813476562,342.9515686035156,-0.0316162109375,0.6022518873214722,-0.00994872860610485,-0.0010052615543827415,0.0002640727034304291,0.11473207175731659,0.005033211782574654,-0.0024157576262950897,-0.5447039008140564,-0.0006911629687509063,-0.0025075651270060305,-0.00010829151869984344,94,1,1,,,,,0,13.40117359161377,8.40117359161377,2.3,2.3,11.101173591613769,,0.007398346904665232,2,0.09616957604885101,0.06398129463195801,13.373753547668457,0.8568395376205444,0.8568395376205444,0,10.720157623291016,,,,,none,0,0,,,-6.103514533606358e-05,0.0,0,0,0,,0.0,0,0,0
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487439,0.15000000223517418,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,0.000124128940549137,0.00044686418597689317,5.555555555555555,20.0,5.555431426615006,6.453601235989481e-05,0.75,0.0,1199.9569091796875,-82.53411102294922,342.95660400390625,-0.0316162072122097,0.6007082462310791,-0.007965086959302425,-0.0008328897529281676,0.00015812748461030424,0.09128642082214355,0.0034474360290914774,-0.0021189043764024973,-0.4689130187034607,-0.0014677369722184306,-0.0021821899982475295,-0.00016391879762522876,94,1,1,,,,,0,12.27054214477539,7.270542144775391,2.3,2.3,9.97054214477539,,0.006237731780856848,2,0.07193650305271149,0.065264493227005,12.24441909790039,0.8002623319625854,0.8002623319625854,0,9.739411354064941,,,,,none,0,0,,,-8.392332483708742e-05,3.725290298461914e-09,0,0,0,,0.0,0,0,0
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487440,0.20000000298023224,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,7.947719852067264e-05,0.0002861179146744215,5.555555555555555,20.0,5.555476078357034,4.987815918866545e-05,0.75,0.0,1199.9569091796875,-82.53411865234375,342.96051025390625,-0.0315856896340847,0.5995266437530518,-0.006469725631177425,-0.0006725884159095585,0.0001914402237161994,0.07188154757022858,0.003206026740372181,0.0006662547821179032,-0.38809746503829956,-0.0008553831798592021,0.0006241974766186279,-8.284592331619933e-05,94,1,1,,,,,0,20.847064971923828,15.847064971923828,2.3,2.3,18.547064971923827,,0.0027908277697861195,3,0.15048159658908844,0.15712793171405792,20.590246200561523,3.2621941566467285,3.2621941566467285,0,18.070873260498047,,,,,none,0,0,,,-9.155271800409537e-05,3.052130341529846e-05,0,0,0,,0.0,0,0,0
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487441,0.2500000037252903,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,7.019261481901675e-05,0.0002526934133484603,5.555555555555555,20.0,5.555485362940736,5.579122080234811e-05,0.75,0.0,1199.9569091796875,-82.53412628173828,342.963623046875,-0.0315856896340847,0.5984953045845032,-0.005767821334302425,-0.0005101065034978092,0.00010881463822443038,0.05555788427591324,0.0032496382482349873,-0.0016525117680430412,-0.32647326588630676,-0.00015981296141052997,-0.0016835868925525763,1.8224514860776253e-05,94,1,1,,,,,0,13.397323608398438,8.397323608398438,2.3,2.3,11.097323608398437,,0.004077730234712362,1,0.010383903980255127,0.010383903980255127,13.396601676940918,0.13911402225494385,0.13911402225494385,0,10.593972206115723,,,,,none,0,0,,,-9.918211117110332e-05,3.052130341529846e-05,0,0,0,,0.0,0,0,0
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487442,0.30000000447034836,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,3.309391195722518e-05,0.00011913808304601064,5.555555555555555,20.0,5.555522461643598,7.093851309036836e-05,0.75,0.0,1199.9569091796875,-82.53414154052734,342.9660339355469,-0.0315856896340847,0.5976278781890869,-0.004974364768713713,-0.0004066967812832445,0.000156838636030443,0.04217053949832916,0.0020681945607066154,0.0009604799561202526,-0.2677468955516815,-0.0007251511165638264,0.0009383737899028169,1.5825928130652755e-05,94,1,1,,,,,0,12.482498168945312,7.4824981689453125,2.3,2.3,10.182498168945312,,0.0033682321663945913,2,0.08187352120876312,0.07121483981609344,12.450859069824219,0.8881879448890686,0.8881879448890686,0,9.907390594482422,,,,,none,0,0,,,-0.00011444089750511921,3.052130341529846e-05,0,0,0,,0.0,0,0,0
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487443,0.3500000052154064,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,5.665242762685124e-05,0.00020394873945666446,5.555555555555555,20.0,5.555498903127929,5.2571853302652016e-05,0.75,0.0,1199.9569091796875,-82.53414154052734,342.96783447265625,-0.0315551720559597,0.5968902111053467,-0.004333495162427425,-0.00028094573644921184,-3.1272466003429145e-06,0.03240516409277916,0.0025150207802653313,-0.0031993177253752947,-0.19530750811100006,0.0004820275689002517,-0.0032127050482303955,0.00011751092097256333,94,1,1,,,,,0,14.573840141296387,9.573840141296387,2.3,2.3,12.273840141296386,,0.0019595345947891474,3,0.08808499574661255,0.12459619343280792,14.46086311340332,1.8111504316329956,1.8111504316329956,0,11.85059928894043,,,,,none,0,0,,,-0.00011444089750511921,6.103888154029846e-05,0,0,0,,0.0,0,0,0
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487444,0.4000000059604645,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,3.335496422821673e-05,0.00012007787122158023,5.555555555555555,20.0,5.555522200591327,6.613255391130224e-05,0.75,0.0,1199.9569091796875,-82.53414916992188,342.96923828125,-0.0315551795065403,0.5962276458740234,-0.003936767112463713,-0.0002272278070449829,0.00016744004096835852,0.025049390271306038,0.0010743585880845785,0.0034113458823412657,-0.14711546897888184,-0.0004584542584007977,0.003401828508391209,2.4693808882148005e-05,94,1,1,,,,,0,14.461148262023926,9.461148262023926,2.3,2.3,12.161148262023925,,0.0016719914274290204,1,0.09690721333026886,-0.09690721333026886,14.393299102783203,-1.3991972208023071,1.3991972208023071,0,11.914008140563965,,,,,none,0,0,,,-0.00012207029067212716,6.103143095970154e-05,0,0,0,,0.0,0,0,0
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487445,0.45000000670552254,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,5.0693785780303954e-05,0.00018249762880909423,5.555555555555555,20.0,5.555504861769775,6.99312804499641e-05,0.75,0.0,1199.9569091796875,-82.5341567993164,342.9703063964844,-0.0315551720559597,0.595565140247345,-0.0026245112530887127,-0.0001500555081292987,7.535316399298608e-05,0.019316453486680984,0.0015434459783136845,-0.0018417375395074487,-0.11465873569250107,0.00035256956809630465,-0.001846139721078553,-0.00015255714242812246,94,1,1,,,,,0,12.759074211120605,7.7590742111206055,2.300038264274202,2.300038266104181,10.459035945016424,,-0.0001913101878017187,3,0.05614146590232849,0.04074866324663162,12.748482704162598,0.5197713375091553,0.5197713375091553,0,10.088338851928711,,,,,none,0,0,,,-0.0001296996838391351,6.103888154029846e-05,0,0,0,,0.0,0,0,0
20260628T181952Z_pid_c642c451,pid,RouteScenario_0_rep0,0,0,Town12,487446,0.5000000074505806,basic_agent,basic_agent,0.0,basic_agent_pid,0,0.0,basic_agent_longitudinal,0,0.0,follow_lane,clear,-5.212133744836844e-06,-1.876368148141264e-05,5.555555555555555,20.0,5.5555607676893,6.237884372239932e-05,0.75,0.0,1199.9569091796875,-82.5341567993164,342.97113037109375,-0.0315551795065403,0.5953260660171509,-0.0027465822640806437,-0.00015567279479000717,-0.00015854625962674618,0.014471784234046936,-0.00011234573321416974,-0.004677988588809967,-0.09689338505268097,-0.0011165063072340413,-0.004682694087831539,0.00026275654090568423,94,1,1,,,,,0,12.506925582885742,7.506925582885742,2.3,2.3,10.206925582885741,,0.001179313287138939,1,0.12051565200090408,0.12051565200090408,12.416210174560547,1.5036343336105347,1.5036343336105347,0,10.0048828125,,,,,none,0,0,,,-0.0001296996838391351,6.103143095970154e-05,0,0,0,,0.0,0,0,0
